txn_id,customer_id,amount,merchant_category,timestamp,location,is_international,customer_avg_txn,days_since_last_txn,card_type,customer_age,is_fraud
TXN_02765,CUST_0126,106.19,Retail,2024-05-11T16:29:00,Vancouver,No,170.13,256.0,credit,54.0,0
TXN_01777,CUST_0202,140.71,atm,20-Aug-2024 09:25 AM,Ottawa,False,53.15,20.0,Credit,48.0,0
TXN_04927,CUST_0128,262.31,atm,12/19/2024 18:55,Montreal,Yes,66.34,24.0,,34.0,0
TXN_00491,CUST_0360,101.94,Retail,2024-09-20T02:50:00,New York,Yes,-8.99,25.0,prepaid,73.0,0
TXN_04653,CUST_0444,28.76,online,08-Oct-2024 12:44 PM,,yes,145.96,20.0,Debit,75.0,0
TXN_00033,CUST_0314,746.06,atm,2024-08-29T22:16:00,Calgary,False,153.21,4.0,Credit,34.0,0
TXN_03022,CUST_0378,156.19,online,,Ottawa,yes,210.34,8.0,debit,79.0,0
TXN_03620,CUST_0235,$57.90,retail,2024-07-26T06:28:00,,1,164.0,28.0,prepaid,77.0,0
TXN_00485,CUST_0281,$628.01,atm,2024-02-10T14:22:00,Montreal,True,204.48,16.0,credit,,0
TXN_00079,CUST_0431,178.87,online,10-Oct-2024 07:59 PM,Calgary,True,,7.0,prepaid,49.0,0
TXN_01344,CUST_0320,1.07,Retail,,Calgary,False,114.13,17.0,CREDIT,56.0,0
TXN_00577,CUST_0047,14.12,restaurant,2024-01-12T11:53:00,Montreal,Yes,117.48,2.0,prepaid,29.0,0
TXN_01175,CUST_0411,137.66,online,2024-04-20T17:55:00,Dubai,0,179.41,26.0,Credit,82.0,0
TXN_01487,CUST_0228,17.9,travel,05/02/2024 03:45,Ottawa,0,117.93,4.0,,64.0,0
TXN_00497,CUST_0342,34.57,atm,2024-01-05T12:11:00,,False,170.51,15.0,debit,53.0,1
TXN_04102,CUST_0101,51.8,online,10/29/2024 13:36,Toronto,False,117.0,19.0,credit,76.0,0
TXN_01144,CUST_0195,29.35,ATM,,Toronto,,,19.0,prepaid,26.0,0
TXN_03734,CUST_0430,177.03,Groceries,12/02/2024 16:54,Vancouver,No,110.58,2.0,credit,41.0,0
TXN_04237,CUST_0227,49.03,resturant,03/16/2024 06:12,New York,yes,17147.28,4.0,credit,29.0,0
TXN_03243,CUST_0158,187.46,retail,08/14/2024 03:33,Toronto,no,,14.0,debit,83.0,0
TXN_01235,CUST_0039,34.52,restaurant,2024-01-18T09:00:00,New York,no,165.48,18.0,CREDIT,66.0,0
TXN_04568,CUST_0259,49.39,retail,06-Oct-2024 02:20 PM,Toronto,False,14538.81,14.0,,38.0,0
TXN_04267,CUST_0328,314.99,groceries,10/02/2024 19:11,Toronto,no,20147.08,25.0,,79.0,0
TXN_00624,CUST_0447,88.32,Retail,2024-11-29T06:36:00,Toronto,False,150.13,357.0,credit,68.0,0
TXN_01629,CUST_0084,30.32,online,,Calgary,No,141.04,23.0,prepaid,32.0,0
TXN_00199,CUST_0407,442.2,RETAIL,01/29/2024 08:02,Toronto,True,167.06,3.0,Credit,51.0,1
TXN_03613,CUST_0151,3.4,online,07/30/2024 22:41,Ottawa,no,,13.0,credit,51.0,0
TXN_01988,CUST_0443,146.33,restaurant,06/14/2024 06:28,Montreal,no,142.86,16.0,,26.0,0
TXN_02344,CUST_0285,462.98,gas_station,22-Jul-2024 10:22 PM,Ottawa,,131.16,15.0,credit,,0
TXN_03263,CUST_0206,127.67,atm,04/10/2024 13:54,Toronto,True,164.5,28.0,,36.0,0
TXN_01905,CUST_0104,378.14,,14-Apr-2024 09:43 AM,Montreal,yes,172.12,20.0,debit,69.0,0
TXN_00765,CUST_0217,34.01,,01/10/2024 16:57,Montreal,No,183.08,23.0,Debit,54.0,0
TXN_00803,CUST_0469,$10.05,groceries,16-Apr-2024 11:01 PM,Vancouver,no,128.85,291.0,Credit,26.0,0
TXN_01501,CUST_0130,63.13,online,27-Oct-2024 01:46 PM,Montreal,0,73.4,28.0,debit,,0
TXN_01770,CUST_0053,74.39,,08/30/2024 05:54,Vancouver,False,130.57,27.0,debit,48.0,0
TXN_00106,CUST_0456,$243.28,,09/10/2024 03:10,Vancouver,,,8.0,debit,,0
TXN_02964,CUST_0239,69.11,Online,2024-08-14T05:37:00,Calgary,True,122.23,,Credit,59.0,0
TXN_00838,CUST_0170,53.58,RETAIL,07-Dec-2024 01:09 PM,Montreal,False,299.73,0.0,debit,19.0,0
TXN_03971,CUST_0442,187.74,online,08-Feb-2024 06:45 PM,Montreal,Yes,197.83,27.0,Debit,44.0,0
TXN_00705,CUST_0043,$714.01,restaurant,2024-03-27T05:25:00,Calgary,True,146.45,4.0,Credit,79.0,0
TXN_04150,CUST_0476,49.0,online,10/29/2024 07:36,Toronto,yes,181.46,21.0,CREDIT,21.0,0
TXN_03179,CUST_0104,152.54,online,,Ottawa,no,202.97,1.0,Credit,58.0,0
TXN_04776,CUST_0338,84.32,groceries,02/29/2024 07:06,Vancouver,No,175.05,13.0,Credit,80.0,0
TXN_00228,CUST_0348,179.87,Retail,2024-12-07T08:31:00,Montreal,0,128.01,18.0,Debit,25.0,0
TXN_03336,CUST_0056,$53.09,online,19-Apr-2024 10:12 AM,Montreal,No,100.71,3.0,CREDIT,79.0,0
TXN_02268,CUST_0155,414.69,online,2024-12-05T06:04:00,,False,186.34,0.0,CREDIT,81.0,0
TXN_03852,CUST_0070,90.03,online,10-May-2024 06:27 AM,Montreal,0,22.25,27.0,,52.0,0
TXN_00501,CUST_0155,168.93,travel,2024-10-21T09:24:00,Ottawa,yes,108.36,19.0,credit,45.0,0
TXN_03128,CUST_0200,52.57,groceries,2024-04-13T15:11:00,Vancouver,True,187.6,14.0,debit,44.0,0
TXN_03352,CUST_0252,254.82,groceries,11/04/2024 17:28,Ottawa,False,130.27,23.0,credit,38.0,0
TXN_04174,CUST_0286,462.09,travel,2024-06-16T06:16:00,New York,no,78.73,11.0,Debit,,0
TXN_01634,CUST_0342,373.83,groceries,,New York,No,114.65,12.0,Debit,75.0,0
TXN_01480,CUST_0330,158.82,restaurant,2024-05-13T09:38:00,,True,140.14,4.0,debit,50.0,0
TXN_02115,CUST_0366,168.4,,02/21/2024 19:33,Ottawa,no,123.53,23.0,Credit,42.0,0
TXN_03999,CUST_0086,88.73,travel,,Montreal,no,83.43,10.0,debit,54.0,0
TXN_00561,CUST_0444,45.69,atm,09/21/2024 21:21,Toronto,True,97.73,13.0,Debit,60.0,0
TXN_04198,CUST_0273,200.32,groceries,2024-08-08T23:19:00,Toronto,no,,6.0,Credit,38.0,0
TXN_03697,CUST_0054,172.17,online,,,False,121.78,26.0,Credit,61.0,0
TXN_01744,CUST_0381,,groceries,2024-08-14T19:17:00,,True,171.29,12.0,debit,79.0,0
TXN_00279,CUST_0130,133.6,groceries,2024-01-15T21:05:00,Ottawa,0,10990.79,21.0,debit,28.0,0
TXN_02266,CUST_0013,197.63,groceries,22-Dec-2024 01:29 PM,,1,76.06,23.0,credit,63.0,0
TXN_00157,CUST_0033,105.42,groceries,07/01/2024 15:47,Calgary,False,133.06,26.0,Debit,72.0,0
TXN_00538,CUST_0354,74.81,groceries,2024-02-01T08:06:00,New York,No,74.33,24.0,credit,19.0,0
TXN_04114,CUST_0032,304.86,retail,08/29/2024 15:28,London UK,,159.81,17.0,,70.0,0
TXN_04457,CUST_0404,14.7,retail,04/23/2024 14:48,Calgary,no,,13.0,,45.0,0
TXN_01650,CUST_0318,,groceries,25-Jun-2024 06:37 AM,Montreal,no,244.51,29.0,,48.0,0
TXN_03150,CUST_0300,33.9,atm,2024-09-17T02:12:00,,False,129.13,14.0,debit,28.0,0
TXN_00764,CUST_0279,51.02,retail,2024-01-09T22:49:00,Calgary,0,179.88,9.0,prepaid,150.0,0
TXN_01864,CUST_0011,151.85,Retail,04/30/2024 06:20,Calgary,False,120.76,4.0,Debit,,0
TXN_03485,CUST_0333,139.77,,02/29/2024 15:10,,False,191.33,8.0,prepaid,51.0,0
TXN_00731,CUST_0114,137.96,retail,,New York,No,104.91,9.0,Debit,37.0,0
TXN_00084,CUST_0050,66.39,atm,2024-11-30T02:04:00,Ottawa,No,113.57,28.0,credit,43.0,0
TXN_02580,CUST_0402,122.78,groceries,2024-09-16T07:19:00,Calgary,no,123.93,16.0,Debit,77.0,0
TXN_03207,CUST_0237,,Retail,02/07/2024 17:56,Toronto,Yes,155.71,21.0,credit,38.0,0
TXN_02974,CUST_0433,449.29,atm,05/24/2024 07:19,Vancouver,,,6.0,Credit,28.0,0
TXN_02696,CUST_0118,427.39,retail,2024-04-18T17:31:00,Ottawa,no,144.82,8.0,prepaid,32.0,0
TXN_01338,CUST_0113,64.94,atm,2024-12-21T02:08:00,Toronto,no,154.44,240.0,,26.0,0
TXN_03902,CUST_0301,192.51,online,2024-06-10T08:11:00,Toronto,False,272.96,5.0,prepaid,29.0,0
TXN_00911,CUST_0213,81.08,resturant,2024-09-06T12:21:00,Vancouver,True,120.41,359.0,Debit,22.0,0
TXN_00029,CUST_0444,$26.56,gas_station,2024-09-20T14:05:00,Vancouver,,,2.0,debit,81.0,0
TXN_00677,CUST_0016,128.55,ATM,,Ottawa,No,,20.0,CREDIT,40.0,0
TXN_04501,CUST_0072,79.12,RETAIL,17-Apr-2024 05:34 PM,Toronto,False,108.89,29.0,Debit,79.0,1
TXN_03685,CUST_0219,587.93,retail,2024-08-23T23:11:00,Montreal,True,129.18,8.0,Credit,40.0,0
TXN_03741,CUST_0119,3.45,atm,28-Apr-2024 07:05 AM,Toronto,False,142.24,11.0,debit,52.0,0
TXN_01620,CUST_0491,52.4,gas_station,16-Mar-2024 01:14 PM,Montreal,no,,14.0,,23.0,0
TXN_00422,CUST_0443,229.26,atm,28-Nov-2024 02:50 PM,,no,193.21,16.0,Debit,23.0,0
TXN_01665,CUST_0175,100.08,,,Toronto,False,166.73,20.0,,80.0,0
TXN_04989,CUST_0118,13.84,online,06/14/2024 19:07,Montreal,True,146.28,26.0,,21.0,0
TXN_02727,CUST_0044,$124.77,ATM,2024-02-15T14:53:00,Toronto,No,216.88,24.0,debit,43.0,0
TXN_03193,CUST_0466,798.44,GROCERIES,02/16/2024 03:36,Calgary,,158.13,23.0,Credit,40.0,0
TXN_03968,CUST_0061,,retail,2024-04-06T21:52:00,,1,220.29,28.0,Debit,32.0,0
TXN_00168,CUST_0035,236.8,atm,2024-09-30T03:52:00,Vancouver,False,169.88,12.0,credit,51.0,0
TXN_03834,CUST_0245,148.41,groceries,09/02/2024 15:50,Toronto,no,126.56,6.0,CREDIT,62.0,0
TXN_03481,CUST_0449,83.64,travel,2024-08-20T20:39:00,New York,No,140.43,19.0,prepaid,63.0,0
TXN_03469,CUST_0200,164.53,gas_station,,Montreal,No,74.64,2.0,credit,39.0,0
TXN_00227,CUST_0128,793.91,retail,11/04/2024 22:51,Calgary,1,228.99,24.0,debit,33.0,0
TXN_02654,CUST_0298,34.45,restaurant,06/10/2024 13:32,Toronto,Yes,131.15,22.0,,84.0,0
TXN_00486,CUST_0490,99.89,GROCERIES,2024-06-17T05:42:00,Toronto,0,64.0,27.0,Debit,18.0,0
TXN_01694,CUST_0178,59.37,restaurant,2024-06-01T14:34:00,Montreal,no,196.93,20.0,debit,66.0,0
TXN_01200,CUST_0127,198.43,ATM,2024-01-31T03:01:00,Vancouver,False,109.42,18.0,debit,81.0,0
TXN_02685,CUST_0424,,,2024-01-20T10:25:00,Calgary,False,209.55,20.0,Debit,49.0,0
TXN_03172,CUST_0003,84.76,gas_station,2024-08-02T03:55:00,Calgary,False,135.68,21.0,,55.0,0
TXN_00023,CUST_0344,187.17,atm,2024-04-25T18:14:00,,,138.55,20.0,credit,44.0,0
TXN_03084,CUST_0125,32.59,GROCERIES,28-Feb-2024 04:05 PM,New York,yes,142.34,6.0,debit,0.0,0
TXN_03130,CUST_0067,569.15,travel,2024-02-08T04:22:00,Dubai,False,-29.06,2.0,prepaid,43.0,0
TXN_02536,CUST_0111,181.17,Retail,2024-03-02T21:52:00,,True,90.52,18.0,Credit,34.0,0
TXN_02897,CUST_0355,189.79,,28-Oct-2024 01:27 AM,Toronto,yes,180.86,25.0,debit,26.0,0
TXN_04840,CUST_0249,517.54,retail,12/22/2024 16:27,,yes,149.01,6.0,Debit,77.0,0
TXN_02093,CUST_0295,$244.23,online,2024-11-09T14:41:00,,False,124.37,1.0,debit,,0
TXN_00239,CUST_0461,186.71,restaurant,01/11/2024 10:50,Montreal,0,125.28,28.0,Debit,35.0,0
TXN_03571,CUST_0424,551.17,,11/13/2024 12:17,Calgary,1,173.1,239.0,debit,74.0,0
TXN_03765,CUST_0319,90.88,online,2024-07-19T08:38:00,Toronto,False,111.49,14.0,credit,51.0,0
TXN_02016,CUST_0397,195.5,retail,22-Nov-2024 06:54 AM,Toronto,No,187.58,3.0,debit,29.0,0
TXN_04038,CUST_0284,40.42,atm,,Ottawa,no,243.46,16.0,Debit,84.0,0
TXN_00297,CUST_0324,$251.79,restaurant,,,no,171.3,25.0,debit,27.0,0
TXN_00248,CUST_0165,31.86,resturant,2024-03-28T12:00:00,Toronto,No,124.68,4.0,,27.0,0
TXN_02135,CUST_0378,121.66,GROCERIES,02-Sep-2024 04:02 AM,Calgary,0,158.5,12.0,Debit,64.0,0
TXN_00373,CUST_0131,$135.67,atm,24-Feb-2024 02:56 PM,Montreal,no,157.96,7.0,Debit,27.0,0
TXN_00881,CUST_0148,-423.04,ATM,2024-04-21T08:13:00,Vancouver,No,208.2,26.0,,34.0,0
TXN_02307,CUST_0406,$340.24,,18-Nov-2024 12:15 AM,Montreal,1,230.32,21.0,Debit,32.0,0
TXN_03887,CUST_0439,134.55,Online,,Vancouver,False,185.02,23.0,Credit,71.0,0
TXN_04503,CUST_0445,4.95,Groceries,02/25/2024 20:54,London UK,no,75.54,7.0,,29.0,0
TXN_02991,CUST_0241,277.57,,09/14/2024 18:13,Ottawa,,190.87,17.0,prepaid,63.0,0
TXN_00724,CUST_0090,72.26,travel,2024-02-10T14:13:00,Toronto,,275.63,2.0,debit,33.0,0
TXN_02220,CUST_0336,85.04,restaurant,2024-07-14T16:37:00,Toronto,0,229.33,12.0,prepaid,0.0,0
TXN_02217,CUST_0262,91.89,Retail,04-Nov-2024 07:05 PM,London UK,0,168.14,2.0,Credit,64.0,0
TXN_01468,CUST_0097,100.5,atm,08/31/2024 10:10,Calgary,True,147.39,23.0,debit,74.0,0
TXN_01592,CUST_0025,51.7,ATM,15-Apr-2024 10:59 AM,Ottawa,no,145.66,20.0,Credit,64.0,0
TXN_03951,CUST_0341,635.44,travel,2024-08-27T16:39:00,Toronto,yes,73.18,26.0,credit,84.0,0
TXN_02445,CUST_0395,504.16,online,10/28/2024 22:05,Toronto,no,201.23,20.0,prepaid,78.0,0
TXN_03091,CUST_0188,148.12,Online,,Vancouver,no,158.65,22.0,,25.0,0
TXN_00927,CUST_0001,10.69,restaurant,2024-02-19T22:25:00,Vancouver,True,169.55,8.0,Credit,46.0,0
TXN_04579,CUST_0296,33.21,atm,2024-05-14T23:47:00,Calgary,0,120.41,17.0,Credit,22.0,0
TXN_04652,CUST_0202,819.85,Online,22-Apr-2024 03:59 PM,Montreal,Yes,79.61,25.0,Credit,42.0,0
TXN_00599,CUST_0117,81.53,Retail,2024-05-12T07:20:00,Toronto,False,175.28,18.0,,70.0,0
TXN_01392,CUST_0483,49.99,Online,08/03/2024 19:57,Montreal,0,159.2,7.0,CREDIT,82.0,0
TXN_02227,CUST_0169,79.96,groceries,2024-11-24T14:15:00,Montreal,True,85.86,3.0,Credit,75.0,0
TXN_04176,CUST_0496,14.72,groceries,2024-06-01T05:38:00,,False,,29.0,credit,69.0,0
TXN_01609,CUST_0182,111.23,travel,2024-09-25T20:52:00,Toronto,no,133.04,25.0,debit,55.0,0
TXN_04290,CUST_0201,59.95,restaurant,29-Mar-2024 12:55 PM,Toronto,Yes,132.89,6.0,Debit,45.0,0
TXN_02876,CUST_0089,$88.14,atm,21-May-2024 09:10 AM,Ottawa,,83.17,11.0,Credit,,0
TXN_03288,CUST_0025,62.03,groceries,2024-04-02T16:45:00,London UK,False,206.94,15.0,credit,56.0,0
TXN_02142,CUST_0338,33.47,travel,2024-10-04T15:31:00,Toronto,False,287.29,23.0,Credit,69.0,0
TXN_00471,CUST_0099,40.78,online,10/02/2024 14:55,Toronto,False,209.15,7.0,CREDIT,65.0,0
TXN_01244,CUST_0145,395.56,Groceries,2024-10-11T01:13:00,Vancouver,yes,156.86,27.0,Credit,19.0,0
TXN_03690,CUST_0013,,ATM,09-Jan-2024 06:29 AM,Toronto,False,112.92,6.0,Credit,,0
TXN_04221,CUST_0124,395.97,online,2024-10-12T14:07:00,Montreal,,130.38,6.0,,37.0,0
TXN_01073,CUST_0407,28.25,groceries,,Toronto,No,217.6,7.0,prepaid,82.0,0
TXN_01044,CUST_0369,40.62,retail,2024-06-30T12:19:00,Montreal,,151.25,20.0,Debit,37.0,0
TXN_01714,CUST_0092,439.88,,2024-05-26T10:02:00,Montreal,False,44.51,0.0,prepaid,59.0,1
TXN_04040,CUST_0369,130.54,atm,2024-07-25T21:34:00,Calgary,True,186.98,16.0,debit,66.0,0
TXN_04778,CUST_0214,564.46,Retail,01/08/2024 19:36,New York,False,,19.0,Credit,37.0,0
TXN_01034,CUST_0078,41.38,resturant,24-Feb-2024 08:24 PM,,Yes,148.9,11.0,CREDIT,45.0,0
TXN_04417,CUST_0072,35.57,restaurant,2024-03-10T20:06:00,,,111.25,,Debit,,0
TXN_01752,CUST_0303,$70.32,atm,08-Apr-2024 03:15 PM,Vancouver,False,156.55,24.0,,70.0,0
TXN_03649,CUST_0118,92.09,travel,18-Oct-2024 09:09 AM,Toronto,no,229.07,,debit,26.0,0
TXN_04808,CUST_0476,76.12,travel,2024-03-13T00:57:00,Montreal,Yes,101.42,13.0,Credit,76.0,0
TXN_01554,CUST_0029,41.04,online,23-May-2024 03:27 PM,Vancouver,False,211.61,21.0,debit,64.0,0
TXN_04195,CUST_0176,267.82,Retail,28-Jun-2024 10:14 AM,Calgary,0,90.69,,Credit,49.0,0
TXN_02986,CUST_0397,-44.68,,05/24/2024 15:52,Vancouver,No,74.82,13.0,,73.0,0
TXN_02721,CUST_0485,54.14,Groceries,,London UK,yes,224.44,18.0,credit,44.0,0
TXN_00829,CUST_0442,956.49,Online,2024-01-26T09:56:00,Ottawa,No,164.17,4.0,prepaid,27.0,0
TXN_01095,CUST_0482,$119.42,travel,07/01/2024 16:12,Montreal,no,144.71,23.0,prepaid,19.0,0
TXN_00426,CUST_0022,$66.97,groceries,2024-07-26T06:07:00,Toronto,False,179.75,12.0,Debit,76.0,0
TXN_02145,CUST_0216,199.27,,,Vancouver,1,144.77,,credit,42.0,0
TXN_03135,CUST_0342,182.36,resturant,2024-11-05T15:47:00,Calgary,no,56.02,11.0,debit,28.0,0
TXN_04160,CUST_0377,51.07,travel,2024-03-16T15:51:00,Vancouver,False,111.0,4.0,debit,46.0,0
TXN_04064,CUST_0268,226.44,online,2024-11-23T04:55:00,Toronto,,118.69,12.0,Debit,37.0,0
TXN_04342,CUST_0016,147.96,Retail,10/24/2024 11:54,Montreal,no,196.45,16.0,,31.0,0
TXN_04951,CUST_0188,302.25,online,2024-05-22T02:51:00,Toronto,False,135.0,9.0,credit,66.0,0
TXN_03580,CUST_0473,139.04,resturant,05-Jul-2024 02:54 AM,Calgary,False,247.91,1.0,debit,33.0,0
TXN_04230,CUST_0442,$49.40,Online,11/10/2024 01:57,Montreal,True,111.35,4.0,credit,45.0,0
TXN_02662,CUST_0422,219.58,resturant,,,yes,162.31,2.0,prepaid,76.0,0
TXN_02705,CUST_0257,376.5,Groceries,2024-09-19T04:41:00,Montreal,No,200.87,7.0,Credit,63.0,0
TXN_01323,CUST_0203,,Retail,01/30/2024 22:44,Montreal,False,11027.9,2.0,,83.0,0
TXN_04129,CUST_0260,113.14,restaurant,2024-11-12T00:39:00,Toronto,False,187.98,28.0,Debit,,0
TXN_03984,CUST_0330,246.46,Groceries,2024-07-07T17:13:00,Calgary,True,104.1,186.0,debit,,0
TXN_04825,CUST_0352,341.01,Groceries,05-Aug-2024 06:34 PM,Ottawa,,142.12,27.0,Credit,31.0,0
TXN_04459,CUST_0353,12.06,restaurant,01/09/2024 05:18,Montreal,no,107.62,8.0,debit,39.0,0
TXN_02883,CUST_0405,,online,07-Feb-2024 10:18 PM,Montreal,,133.9,24.0,credit,61.0,0
TXN_02117,CUST_0107,9.83,ATM,17-Apr-2024 04:01 AM,,no,173.23,17.0,Credit,69.0,0
TXN_00653,CUST_0039,506.49,groceries,06/02/2024 15:20,Toronto,True,248.42,25.0,credit,62.0,0
TXN_04436,CUST_0093,228.61,retail,2024-10-03T14:50:00,,No,181.96,4.0,prepaid,39.0,0
TXN_01018,CUST_0465,11.39,Retail,11/12/2024 08:55,New York,False,86.56,9.0,credit,46.0,0
TXN_00088,CUST_0390,52.38,retail,08/06/2024 04:16,Toronto,no,148.42,29.0,prepaid,38.0,0
TXN_01129,CUST_0111,88.7,online,14-Jun-2024 10:17 AM,,no,60.42,19.0,credit,78.0,0
TXN_03773,CUST_0314,238.62,atm,2024-10-25T19:58:00,Calgary,,141.15,7.0,debit,28.0,0
TXN_00008,CUST_0103,12.95,resturant,,,No,105.89,28.0,,36.0,0
TXN_01886,CUST_0227,292.55,travel,10/27/2024 11:26,Ottawa,No,95.17,5.0,Credit,40.0,1
TXN_01662,CUST_0257,117.32,GROCERIES,04/24/2024 10:15,Vancouver,Yes,205.97,10.0,Credit,66.0,0
TXN_03910,CUST_0441,1.6,Retail,04/05/2024 09:56,,no,7868.12,4.0,credit,34.0,0
TXN_00681,CUST_0258,$7.01,,06-Aug-2024 12:32 AM,,0,126.69,15.0,credit,52.0,0
TXN_03773,CUST_0314,238.62,atm,2024-10-25T19:58:00,Calgary,,141.15,7.0,debit,28.0,0
TXN_03658,CUST_0128,119.79,retail,,Ottawa,yes,149.52,0.0,debit,72.0,0
TXN_00144,CUST_0419,-57.1,groceries,10/28/2024 01:18,Vancouver,False,219.91,,Credit,46.0,0
TXN_00994,CUST_0146,486.56,restaurant,01/05/2024 15:26,London UK,,198.42,475.0,Debit,29.0,0
TXN_03652,CUST_0413,516.99,ATM,2024-04-19T06:01:00,Toronto,True,131.1,11.0,debit,33.0,0
TXN_01741,CUST_0085,442.01,Online,2024-01-06T12:12:00,Calgary,,145.55,18.0,credit,24.0,0
TXN_03340,CUST_0083,240.26,,05/20/2024 23:45,Ottawa,no,156.05,26.0,credit,80.0,0
TXN_03835,CUST_0403,357.36,Online,08/18/2024 02:22,Montreal,False,126.19,11.0,,29.0,0
TXN_02741,CUST_0293,117.45,online,06/08/2024 19:52,Montreal,False,115.29,,debit,77.0,0
TXN_00151,CUST_0028,451.42,restaurant,25-Aug-2024 07:26 AM,Toronto,False,160.78,26.0,credit,80.0,0
TXN_01670,CUST_0114,172.06,retail,08/02/2024 03:05,London UK,False,148.33,246.0,credit,59.0,0
TXN_03917,CUST_0070,155.79,Online,03-Mar-2024 06:07 PM,Toronto,no,76.56,27.0,Debit,50.0,0
TXN_01831,CUST_0313,$10.54,,,Montreal,False,,,Credit,25.0,0
TXN_00240,CUST_0233,47.46,groceries,10/25/2024 09:07,Montreal,No,194.79,7.0,Credit,73.0,0
TXN_00848,CUST_0339,$11.66,online,2024-08-02T08:12:00,Toronto,False,,8.0,credit,59.0,0
TXN_02172,CUST_0170,91.97,restaurant,09/06/2024 12:34,Vancouver,True,137.39,,Credit,43.0,0
TXN_01881,CUST_0250,48.3,Online,2024-06-10T08:55:00,Calgary,no,184.91,6.0,prepaid,62.0,0
TXN_00856,CUST_0217,266.39,groceries,07-Jul-2024 05:43 PM,Calgary,False,161.28,7.0,CREDIT,61.0,0
TXN_03355,CUST_0260,52.65,atm,2024-03-27T05:43:00,Ottawa,False,12031.55,25.0,Debit,44.0,0
TXN_01413,CUST_0379,233.14,atm,2024-04-10T20:56:00,,no,184.82,17.0,Debit,19.0,0
TXN_00964,CUST_0201,217.83,atm,17-Dec-2024 02:25 AM,Toronto,False,133.82,,,84.0,0
TXN_01417,CUST_0132,478.15,atm,2024-09-20T11:50:00,Vancouver,False,79.94,2.0,credit,67.0,0
TXN_02749,CUST_0485,224.44,online,2024-06-12T22:47:00,Toronto,No,,19.0,credit,71.0,0
TXN_00457,CUST_0477,256.07,,23-Mar-2024 09:28 PM,Toronto,0,149.95,6.0,Credit,77.0,0
TXN_01103,CUST_0247,327.05,atm,2024-12-25T18:46:00,Vancouver,no,,227.0,debit,57.0,0
TXN_01436,CUST_0481,358.28,restaurant,2024-06-10T15:52:00,,Yes,152.11,11.0,CREDIT,66.0,0
TXN_04759,CUST_0324,31.31,travel,2024-06-07T02:29:00,Toronto,False,218.17,26.0,,50.0,0
TXN_04084,CUST_0468,$75.90,restaurant,01-Nov-2024 01:57 PM,Ottawa,False,115.35,0.0,credit,33.0,0
TXN_01590,CUST_0063,153.66,,2024-06-15T04:11:00,,False,116.38,16.0,,22.0,0
TXN_03386,CUST_0183,290.36,,2024-07-19T05:32:00,Calgary,No,247.17,383.0,Credit,30.0,0
TXN_00465,CUST_0280,321.67,Online,11/13/2024 00:32,Toronto,False,145.46,14.0,debit,20.0,0
TXN_02673,CUST_0130,29.28,ATM,08-Mar-2024 12:37 PM,Vancouver,True,131.86,6.0,Credit,57.0,0
TXN_03257,CUST_0163,404.0,travel,09-Dec-2024 02:02 PM,Toronto,True,133.33,21.0,,72.0,0
TXN_04293,CUST_0173,4.45,Online,02/06/2024 09:37,Vancouver,0,22.01,12.0,debit,44.0,0
